Named Entity,bin 1,bin 2,bin 3,bin 4,bin 5,bin 6,bin 7,bin 8,bin 9,bin 10 ,bin 11
 ' ',976,976,976,976,976,976,976,976,976,976,976
harold,0,0,0,0,0,1,0,0,0,0,0
#queen,0,0,0,0,1,0,0,2,0,0,0
tom hanks,0,0,0,0,0,0,0,0,0,0,4
phillip phillips,0,0,0,0,0,0,0,0,1,0,0
llcool j,0,0,0,0,1,0,0,0,1,0,0
johnathan,1,0,0,0,0,0,0,0,0,0,0
brian kennedy,0,0,0,0,0,0,0,0,0,0,1
levon,0,0,0,0,2,0,5,7,0,32,5
god bles,0,0,0,0,0,1,0,2,0,1,1
urban album,0,0,1,0,0,0,0,0,0,0,0
grammy stage,1,2,0,2,1,1,6,0,4,1,0
janelle monae,0,1,0,0,0,0,1,1,3,2,2
twittet,0,0,0,0,0,0,0,1,0,0,0
james franco,0,0,0,0,0,0,1,0,0,0,1
david grohl,0,0,2,0,0,0,0,0,0,0,0
chief keef,1,0,0,0,0,0,0,1,0,2,1
wheres nicki minaj,0,0,1,0,0,0,0,0,0,0,0
carter iii,0,0,0,0,0,0,0,0,0,1,0
god kaley cuoco,0,0,1,0,0,0,0,0,0,0,0
"wiz	wiz",0,0,0,0,0,0,0,0,0,0,0
tony bennett,0,0,0,0,0,0,0,0,0,1,0
van,2,4,0,2,8,4,0,3,5,2,6
source awards,0,0,0,0,1,0,0,0,0,0,0
mumford &amp; sons,7,3,1,1,2,4,2,1,2,9,10
jack whites,0,0,0,0,0,0,0,5,1,1,0
adel,5,9,16,13,8,13,15,9,3,7,96
c'mon jay,0,0,0,0,1,0,0,0,0,0,0
meek mills,0,0,0,0,0,0,1,0,0,0,0
nuno bettencourt,0,0,0,1,1,0,0,0,0,0,1
leeggoooooooo,0,0,0,0,1,0,0,0,0,0,0
yasss,0,0,0,1,0,0,0,0,0,1,0
sarah,0,0,0,0,1,0,0,1,0,1,1
perry,3,4,3,16,15,10,3,154,17,25,22
genius,2,0,2,0,0,1,3,1,1,0,0
allison williams,0,0,0,0,0,0,0,0,0,0,1
hayden,0,0,0,0,0,1,0,0,0,0,0
cj,0,1,0,0,1,1,0,1,0,0,0
bruce springsteen,0,0,3,1,0,0,0,1,0,0,1
robin williams,0,0,0,0,2,0,0,0,0,0,0
@drake,1,0,0,0,0,0,2,0,1,0,0
imo,1,0,0,0,0,1,2,1,0,1,0
perry xd,0,0,0,0,0,0,0,1,0,0,0
capri,0,0,0,0,0,0,0,0,0,0,1
billy dorsey,0,0,0,0,0,0,0,0,0,0,1
american idol,0,0,5,5,4,4,0,2,6,2,0
tim benz,0,0,0,0,1,0,0,0,0,0,0
frank ocean high,0,0,0,0,0,0,0,0,0,0,1
garth brooks,0,0,0,0,0,0,1,0,0,0,1
jack daniels,0,0,0,0,0,2,0,0,0,0,0
frankie beverly,0,0,0,0,0,0,0,0,0,0,1
carly rae jep,0,1,1,1,17,3,2,1,3,0,3
rich kidz,0,0,1,0,0,0,0,0,0,0,0
daaaammmnnn kelly rowland,0,1,0,0,0,0,0,0,0,0,0
riri,0,2,1,4,2,0,6,0,0,1,1
rita,0,0,2,0,0,0,1,0,0,2,0
oh mumford,0,0,0,0,0,0,0,0,0,1,0
the robertson,0,0,0,0,1,0,0,0,0,0,0
john stamos,0,0,0,0,0,0,1,0,0,0,0
wtf,5,5,4,6,4,4,3,2,5,7,6
rohan,0,0,0,0,0,1,2,0,0,0,0
angelina jolie's.,0,0,0,0,1,0,0,0,0,0,0
mason,0,0,0,1,0,0,0,0,0,0,0
winehouse,0,0,0,0,7,1,0,0,1,0,0
joss stone,0,0,0,0,0,1,0,0,0,0,0
peda damian marley,0,0,0,0,0,0,1,0,0,0,0
flava flav,0,0,0,0,0,0,0,0,0,0,1
grammys bruno,0,0,1,0,0,4,1,0,0,0,0
